elevation,storage,area
895,0,30172
895.5,15111,30270
896,30270,30368
896.5,45479,30466
897,60736,30564
897.5,76043,30662
898,91398,30760
898.5,106803,30858
899,122257,30956
899.5,137759,31054
900,153311,31152
900.5,168917,31273
901,184584,31394
901.5,200311,31514
902,216098,31635
902.5,231946,31755
903,247854,31876
903.5,263822,31997
904,279851,32117
904.5,295939,32238
905,312088,32359
905.5,328298,32479
906,344568,32600
906.5,360898,32720
907,377288,32841
907.5,393739,32962
908,410250,33082
908.5,426821,33203
909,443452,33323
909.5,460144,33444
910,476896,33565
910.5,493708,33683
911,510579,33800
911.5,527509,33918
912,544497,34036
912.5,561545,34154
913,578651,34272
913.5,595817,34390
914,613041,34508
914.5,630324,34626
915,647667,34743
915.5,665068,34861
916,682528,34979
916.5,700047,35097
917,717625,35215
917.5,735262,35333
918,752958,35451
918.5,770713,35569
919,788526,35686
919.5,806399,35804
920,824331,35922
920.5,842320,36036
921,860367,36150
921.5,878471,36264
922,896631,36378
922.5,914849,36492
923,933123,36607
923.5,951455,36721
924,969844,36835
924.5,988290,36949
925,1006793,37063
925.5,1025353,37177
926,1043970,37291
926.5,1062644,37405
927,1081375,37519
927.5,1100163,37633
928,1119008,37747
928.5,1137910,37861
929,1156869,37975
929.5,1175885,38089
930,1194958,38203
930.5,1214089,38320
931,1233278,38436
931.5,1252525,38552
932,1271830,38668
932.5,1291193,38784
933,1310614,38900
933.5,1330093,39016
934,1349630,39133
934.5,1369226,39249
935,1388879,39365
935.5,1408591,39481
936,1428360,39597
936.5,1448188,39713
937,1468074,39830
937.5,1488018,39946
938,1508019,40062
938.5,1528079,40178
939,1548198,40294
939.5,1568374,40410
940,1588608,40527
940.5,1608900,40644
941,1629251,40761
941.5,1649661,40878
942,1670130,40995
942.5,1690656,41112
943,1711242,41229
943.5,1731886,41346
944,1752588,41463
944.5,1773349,41581
945,1794169,41698
945.5,1815047,41815
946,1835984,41932
946.5,1856979,42049
947,1878033,42166
947.5,1899145,42283
948,1920316,42400
948.5,1941545,42518
949,1962834,42635
949.5,1984180,42752
950,2005585,42869
950.5,2027052,42999
951,2048584,43128
951.5,2070180,43258
952,2091842,43387
952.5,2113568,43517
953,2135358,43647
953.5,2157214,43776
954,2179135,43906
954.5,2201120,44035
955,2223170,44165
955.5,2245285,44295
956,2267464,44424
956.5,2289709,44554
957,2312018,44683
957.5,2334392,44813
958,2356831,44943
958.5,2379335,45072
959,2401903,45202
959.5,2424536,45331
960,2447235,45461
960.5,2469995,45580
961,2492815,45700
961.5,2515695,45819
962,2538634,45938
962.5,2561633,46057
963,2584691,46177
963.5,2607809,46296
964,2630987,46415
964.5,2654225,46534
965,2677522,46654
965.5,2700878,46773
966,2724295,46892
966.5,2747771,47012
967,2771306,47131
967.5,2794901,47250
968,2818556,47369
968.5,2842271,47489
969,2866046,47608
969.5,2889878,47727
970,2913772,47847
970.5,2937729,47981
971,2961753,48114
971.5,2985843,48248
972,3010001,48382
972.5,3034226,48516
973,3058517,48650
973.5,3082876,48784
974,3107301,48918
974.5,3131794,49052
975,3156353,49186
975.5,3180979,49320
976,3205673,49454
976.5,3230433,49587
977,3255260,49721
977.5,3280154,49855
978,3305115,49989
978.5,3330143,50123
979,3355238,50257
979.5,3380401,50391
980,3405630,50525
980.5,3430929,50674
981,3456303,50824
981.5,3481753,50974
982,3507278,51123
982.5,3532877,51273
983,3558550,51423
983.5,3584299,51572
984,3610123,51722
984.5,3636021,51872
985,3661994,52021
985.5,3688042,52171
986,3714165,52321
986.5,3740363,52470
987,3766635,52620
987.5,3792982,52769
988,3819405,52919
988.5,3845902,53069
989,3872474,53218
989.5,3899120,53368
990,3925842,53518
990.5,3952636,53660
991,3979502,53803
991.5,4006440,53946
992,4033448,54089
992.5,4060528,54232
993,4087680,54375
993.5,4114903,54517
994,4142198,54660
994.5,4169563,54803
995,4197001,54946
995.5,4224510,55089
996,4252089,55232
996.5,4279741,55374
997,4307464,55517
997.5,4335258,55660
998,4363125,55803
998.5,4391061,55946
999,4419070,56089
999.5,4447150,56231
1000,4475301,56374
1000.5,4503527,56529
1001,4531830,56684
1001.5,4560212,56839
1002,4588670,56995
1002.5,4617206,57150
1003,4645820,57305
1003.5,4674511,57460
1004,4703279,57615
1004.5,4732126,57770
1005,4761049,57925
1005.5,4790050,58080
1006,4819129,58235
1006.5,4848286,58390
1007,4877519,58545
1007.5,4906831,58700
1008,4936219,58855
1008.5,4965686,59010
1009,4995230,59165
1009.5,5024851,59320
1010,5054550,59475
1010.5,5084326,59628
1011,5114179,59781
1011.5,5144107,59934
1012,5174113,60087
1012.5,5204194,60240
1013,5234353,60393
1013.5,5264587,60546
1014,5294898,60699
1014.5,5325286,60851
1015,5355750,61004
1015.5,5386290,61157
1016,5416907,61310
1016.5,5447600,61463
1017,5478370,61616
1017.5,5509216,61769
1018,5540139,61922
1018.5,5571138,62075
1019,5602213,62227
1019.5,5633365,62380
1020,5664593,62533
1020.5,5695898,62688
1021,5727281,62842
1021.5,5758741,62997
1022,5790278,63151
1022.5,5821892,63306
1023,5853583,63460
1023.5,5885352,63615
1024,5917198,63769
1024.5,5949121,63924
1025,5981122,64078
1025.5,6013200,64233
1026,6045355,64387
1026.5,6077587,64542
1027,6109897,64696
1027.5,6142284,64851
1028,6174748,65006
1028.5,6207289,65160
1029,6239908,65315
1029.5,6272604,65469
1030,6305377,65624
1030.5,6338229,65784
1031,6371161,65945
1031.5,6404174,66105
1032,6437266,66266
1032.5,6470439,66426
1033,6503693,66587
1033.5,6537026,66747
1034,6570440,66908
1034.5,6603934,67068
1035,6637508,67229
1035.5,6671163,67389
1036,6704897,67550
1036.5,6738713,67710
1037,6772608,67871
1037.5,6806583,68031
1038,6840639,68192
1038.5,6874775,68352
1039,6908992,68513
1039.5,6943288,68673
1040,6977665,68834
1040.5,7012124,69003
1041,7046668,69171
1041.5,7081296,69340
1042,7116008,69509
1042.5,7150804,69677
1043,7185685,69846
1043.5,7220651,70015
1044,7255700,70184
1044.5,7290834,70352
1045,7326052,70521
1045.5,7361355,70690
1046,7396742,70858
1046.5,7432213,71027
1047,7467768,71196
1047.5,7503408,71364
1048,7539138,71533
1048.5,7574938,71702
1049,7610838,71871
1049.5,7646818,72039
1050,7682878,72208
1050.5,7719018,72393
1051,7755258,72574
1051.5,7791588,72755
1052,7828018,72936
1052.5,7864528,73117
1053,7901128,73298
1053.5,7937828,73479
1054,7974608,73660
1054.5,8011488,73841
1055,8048458,74022
1055.5,8085508,74203
1056,8122658,74384
1056.5,8159898,74565
1057,8197218,74746
1057.5,8234638,74927
1058,8272148,75108
1058.5,8309748,75289
1059,8347438,75470
1059.5,8385218,75651
1060,8423088,75832
1060.5,8461048,76013
1061,8499098,76194
1061.5,8537248,76375
1062,8575478,76556
1062.5,8613798,76737
1063,8652218,76918
1063.5,8690718,77099
1064,8729308,77280
1064.5,8767998,77461
1065,8806768,77642
1065.5,8845638,77823
1066,8884598,78004
1066.5,8923638,78185
1067,8962778,78366
1067.5,9002008,78547
1068,9041328,78727
1068.5,9080738,78908
1069,9120238,79089
1069.5,9159828,79270
1070,9199508,79451
1070.5,9239268,79617
1071,9279118,79787
1071.5,9319048,79957
1072,9359068,80127
1072.5,9399178,80297
1073,9439368,80468
1073.5,9479648,80638
1074,9520008,80808
1074.5,9560448,80978
1075,9600988,81148
1075.5,9641598,81318
1076,9682298,81488
1076.5,9723088,81658
1077,9763958,81828
1077.5,9804918,81999
1078,9845958,82169
1078.5,9887088,82339
1079,9928298,82509
1079.5,9969598,82679
1080,10010978,82849
1080.5,10052448,83007.9
1081,10093998,83166.8
1081.5,10135648,83325.7
1082,10177378,83484.6
1082.5,10219198,83643.5
1083,10261098,83802.4
1083.5,10303098,83961.3
1084,10345178,84120.2
1084.5,10387348,84279.1
1085,10429608,84438
1085.5,10471948,84596.9
1086,10514388,84755.8
1086.5,10556908,84914.7
1087,10599518,85073.6
1087.5,10642218,85232.5
1088,10684998,85391.4
1088.5,10727868,85550.3
1089,10770828,85709.2
1089.5,10813878,85868.1
1090,10857008,86027
1090.5,10900238,86185.9
1091,10943548,86344.8
1091.5,10986938,86503.7
1092,11030418,86662.6
1092.5,11073988,86821.5
1093,11117638,86980.4
1093.5,11161378,87139.3
1094,11205208,87298.2
1094.5,11249118,87457.1
1095,11293118,87616.06298
1095.5,11336955.12,87761.05327
1096,11380872.81,87923.72901
1096.5,11424872.44,88069.74014
1097,11468946.25,88240.76996
1097.5,11513107.08,88399.77626
1098,11557346.99,88574.12872
1098.5,11601673.66,88726.56886
1099,11646067.27,88904.05782
1099.5,11690576.89,89117.53399
1100,11735176.05,89299.86559
1100.5,11779866.81,89457.94667
1101,11824637.1,89646.31758
1101.5,11869502.27,89808.46486
1102,11914439.13,89969.50073
1102.5,11959478.53,90157.21066
1103,12004602.44,90358.92689
1103.5,12049826.63,90532.37964
1104,12095140.26,90742.8504
1104.5,12140560.32,90940.02211
1105,12186069.17,91125.86301
1105.5,12231691.06,91336.56301
1106,12277410.06,91559.71425
1106.5,12323247.8,91788.07726
1107,12369192.24,92005.59595
1107.5,12415245.86,92205.34948
1108,12461401.66,92446.70916
1108.5,12507673.61,92678.40424
1109,12554079.82,92962.60473
1109.5,12600613.94,93165.8566
1110,12647247.28,93419.1801
1110.5,12694010.34,93634.54607
1111,12740876.29,93886.10581
1111.5,12787856.32,94064.28813
1112,12834932.79,94285.05663
1112.5,12882121.67,94473.64043
1113,12929400.76,94686.04905
1113.5,12976786.57,94850.91269
1114,13024254.9,95055.8883
1114.5,13071819.66,95243.583
1115,13119488.21,95459.93801
1115.5,13167265.49,95643.99474
1116,13215135.39,95858.77865
1116.5,13263113.84,96057.27143
1117,13311186.67,96253.02593
1117.5,13359355.63,96415.24694
1118,13407594.22,96571.05022
1118.5,13455931.76,96749.28138
1119,13504347.2,96928.44928
1119.5,13552852.06,97084.76458
1120,13601435.35,97261.27681
1120.5,13650107.56,97422.11492
1121,13698851.76,97588.79309
1121.5,13747698.82,97777.97285
1122,13796635.77,97983.23604
1122.5,13845676.01,98172.40889
1123,13894813.16,98389.2403
1123.5,13944059.69,98588.43003
1124,13993404.49,98804.53201
1124.5,14042853.48,99042.73483
1125,14092429.25,99275.41364
1125.5,14142122.01,99488.64816
1126,14191920.52,99720.6606
1126.5,14241840.74,99967.91713
1127,14291876.41,100191.8446
1127.5,14342013.78,100391.3435
1128,14392260.85,100617.1534
1128.5,14442623.56,100840.9321
1129,14493095.25,101062.5536
1129.5,14543676.07,101254.7957
1130,14594353.51,101477.268
1130.5,14645137.27,101703.9731
1131,14696039.59,101926.9418
1131.5,14747053.12,102120.593
1132,14798163.26,102349.9933
1132.5,14849388.5,102544.43
1133,14900711.03,102784.1612
1133.5,14952154.56,102983.9357
1134,15003688.79,103188.8269
1134.5,15055351.33,103426.2217
1135,15107118.97,103670.2909
1135.5,15159012.97,104284.7263
1136,15211315.57,104815.9102
1136.5,15263817.57,105182.9884
1137,15316471.3,105460.3982
1137.5,15369288.29,105757.9986
1138,15422233.17,106073.2113
1138.5,15475338.1,106345.3879
1139,15528574.4,106649.2239
1139.5,15581958.28,106878.5989
1140,15635449.4,107119.5383
1140.5,15689102.63,107440.359
1141,15742879.38,107706.7051
1141.5,15796788.64,107924.4681
1142,15850807.86,108202.9707
1142.5,15904969.4,108439.6934
1143,15959245.87,108713.037
1143.5,16013645.59,108922.2391
1144,16068161.43,109197.8004
1144.5,16122822.01,109439.0295
1145,16177600.87,109719.2185
1145.5,16232520.58,109952.863
1146,16287557.66,110242.0336
1146.5,16342736.17,110505.881
1147,16398050.21,110789.9358
1147.5,16453505.45,111023.0901
1148,16509077.23,111305.982
1148.5,16564795.92,111557.3807
1149,16620634.95,111838.7625
1149.5,16676615.55,112076.5742
1150,16732705.19,112323.0611
1150.5,16788954.34,112626.3887
1151,16845331.89,112916.8178
1151.5,16901855.94,113194.37
1152,16958547.83,113557.4517
1152.5,17015394.75,113820.3194
1153,17072358.41,114072.0982
1153.5,17129472.74,114344.8905
1154,17186706.53,114616.3753
1154.5,17244078.87,114873.1699
1155,17301581.6,115153.1623
1155.5,17359218.67,115387.1902
1156,17416961.4,115624.3634
1156.5,17474858.09,115912.1389
1157,17532876.99,116204.792
1157.5,17591045.05,116466.0847
1158,17649368.8,116849.0361
1158.5,17707859.77,117105.4584
1159,17766478.32,117410.2184
1159.5,17825242.89,117683.3702
1160,17884154.13,117993.744
1160.5,17943222.91,118275.0716
1161,18002431.85,118592.5856
1161.5,18061799.85,118870.4946
1162,18121306.96,119191.5252
1162.5,18180962.68,119472.0586
1163,18240770.93,119795.1132
1163.5,18300740.14,120072.5527
1164,18360848.99,120422.2648
1164.5,18421137.7,120716.5177
1165,18481577.95,121098.9545
1165.5,18542191.96,121398.1503
1166,18602971.72,121792.7678
1166.5,18663947.11,122102.4486
1167,18725078.32,122473.7162
1167.5,18786395.09,122787.1768
1168,18847874.49,123167.886
1168.5,18909540.42,123492.0517
1169,18971359.91,123829.4225
1169.5,19033395.6,124275.4841
1170,19095622.03,124673.047
1170.5,19158042.72,125002.3851
1171,19220628.81,125393.594
1171.5,19283415.18,125752.7681
1172,19346370.17,126109.2489
1172.5,19409537.09,126506.6851
1173,19472881.44,126903.4521
1173.5,19536423.46,127257.6621
1174,19600143.5,127655.0837
1174.5,19664064.99,128031.3251
1175,19728171.06,128425.9667
1175.5,19792458.72,128767.1798
1176,19856928.15,129147.3881
1176.5,19921586.79,129478.1711
1177,19986408.45,129833.9234
1177.5,20051404.17,130139.8828
1178,20116552.04,130489.5893
1178.5,20181862.1,130795.1078
1179,20247345.6,131158.2984
1179.5,20313002.24,131459.7536
1180,20378809.3,131791.7839
1180.5,20444779.7,132080.8726
1181,20510893.34,132402.3527
1181.5,20577156.06,132693.9064
1182,20643603.71,133085.7406
1182.5,20710222.4,133380.3627
1183,20776987.06,133699.337
1183.5,20843911.99,133992.4493
1184,20910985.07,134311.7699
1184.5,20978218.54,134615.1972
1185,21045591.48,134923.2762
1185.5,21113142.58,135256.3458
1186,21180851.02,135597.9523
1186.5,21248730.34,135912.3176
1187,21316767.16,136249.3722
1187.5,21384972.47,136567.1332
1188,21453331.09,136896.5729
1188.5,21521871.17,137232.5564
1189,21590568.37,137569.8123
1189.5,21659432.81,137909.7674
1190,21728468.62,138245.6428
1190.5,21797669.27,138549.0392
1191,21867021.76,138873.0965
1191.5,21936522.52,139178.9994
1192,22006193.91,139519.0518
1192.5,22076036.44,139842.361
1193,22146040.28,140183.3329
1193.5,22216214.89,140506.725
1194,22286551.9,140854.9302
1194.5,22357051.88,141193.4718
1195,22427735.83,141553.9937
1195.5,22498597.86,141885.1208
1196,22569624.08,142223.7465
1196.5,22640816.46,142536.3283
1197,22712165.76,142870.398
1197.5,22783668.33,143189.3483
1198,22855346.37,143531.3192
1198.5,22927195.68,143855.3864
1199,22999205.03,144191.4843
1199.5,23071381.3,144503.7109
1200,23143713.57,144834.116
1200.5,23216210.38,145144.1523
1201,23288848.9,145458.0234
1201.5,23361678.53,145852.8297
1202,23434687.96,146196.8884
1202.5,23507875.03,146560.8693
1203,23581326.43,147143.769
1203.5,23654986.15,147480.3985
1204,23728794.51,147803.1686
1204.5,23802788.09,148147.6718
1205,23876949.51,148511.0185
1205.5,23951313.97,148937.6556
1206,24025868.87,149292.4534
1206.5,24100601.71,149631.1098
1207,24175487.39,149961.5901
1207.5,24250561.02,150302.9951
1208,24325795.1,150642.9333
1208.5,24401198.68,150961.1885
1209,24476760.19,151297.7266
1209.5,24552489.73,151609.7042
1210,24628375.12,151940.8547
1210.5,24704411.04,152254.1521
1211,24780617.33,152579.7027
1211.5,24856985.7,152883.6147
1212,24933504.31,153196.4679
1212.5,25010178.23,153489.5306
1213,25086998.12,153793.1251
1213.5,25163954.09,154082.1089
1214,25241070.29,154385.3106
1214.5,25318337.04,154672.072
1215,25395747.17,154967.7902
1215.5,25473302.18,155241.2571
1216,25550991.9,155517.1063
1216.5,25628819.46,155782.4726
1217,25706763.6,156056.5731
1217.5,25784860.27,156321.0222
1218,25863089.95,156597.7296
1218.5,25941458.1,156865.5998
1219,26019960.15,157142.0382
1219.5,26098601.14,157411.9559
1220,26177361.33,157682.9385
1220.5,26256279.73,157972.2409
1221,26335338.45,158262.4194
1221.5,26414542.66,158545.3633
1222,26493891.88,158853.2785
1222.5,26573396.69,159156.6686
1223,26653037.73,159461.085
1223.5,26732851.61,159773.8
1224,26812815.84,160079.091
1224.5,26892930.11,160367.3785
1225,26973186.65,160654.9562
1225.5,27053585.98,160931.244
1226,27134123.55,161217.7305
1226.5,27214787.5,161493.2036
1227,27295605.9,161777.4101
1227.5,27376565.71,162052.724
1228,27457664.41,162341.394
1228.5,27538908.65,162624.4683
1229,27620294.12,162915.7876
1229.5,27701810.3,163204.8774
1230,27783488.29,163503.9869
1250,30809525,175800
